ImageFileName,values(ComputerName)
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BB43043
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BGX17D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BJQ17D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BLDR-ACCESS005
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BT417D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BTXR493
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,BXS76D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,C3YBFB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,C4QJFB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,C7T4DB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,C829BK3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,C9V37D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CAPVIEWACCESS-D
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CGC57D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CGRZ2D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CMB88G3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CND1278Z7H
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CND1278ZBD
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CYD6163
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,DCSTXT2-L
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,DRW8BK3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,DSCOTT10U-2L
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,DTLOANER10-L
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,DW147D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,F3C7163
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,F3YZ2D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,F7Z27D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,FBX37D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,FNR87D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,FPM27D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,FW63DB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,FWB88G3
