ComputerName,FileName,FilePath,LocalAddressIP4,TargetFileName
RDUDUDEVRAJW10,wsmapp.war,\Device\HarddiskVolume4\apps\v68\WSMMerge\apache-tomcat\webapps\,10.102.243.167,\Device\HarddiskVolume4\apps\v68\WSMMerge\apache-tomcat\webapps\wsmapp.war
RDUDUDEVRAJW10,wsmapp.war,\Device\HarddiskVolume4\apps\v68\WSMMerge\apache-tomcat\webapps\,10.102.243.167,\Device\HarddiskVolume4\apps\v68\WSMMerge\apache-tomcat\webapps\wsmapp.war
RDUDUDEVRAJW10,wsmapp.war,\Device\HarddiskVolume4\apps\v70\WSM\apache-tomcat\webapps\,10.102.243.167,\Device\HarddiskVolume4\apps\v70\WSM\apache-tomcat\webapps\wsmapp.war
